case_id,variant,shape,motion,res,success,cost,steps,expand_count,runtime_ms,img_path
1,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1988.29,runs/2025-11-25_18-22-35/case_0001/ExactRobot_UpSideways_RegularRes_RegularPad.png
1,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,0,inf,0,0,1215.18,runs/2025-11-25_18-22-35/case_0001/RectangleRobot_UpSideways_RegularRes_RegularPad.png
2,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,1.0,1,2,27.56,runs/2025-11-25_18-22-35/case_0002/ExactRobot_UpSideways_RegularRes_RegularPad.png
2,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,1,1.0,1,2,16.49,runs/2025-11-25_18-22-35/case_0002/RectangleRobot_UpSideways_RegularRes_RegularPad.png
3,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1842.09,runs/2025-11-25_18-22-35/case_0003/ExactRobot_UpSideways_RegularRes_RegularPad.png
3,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,0,inf,0,0,919.33,runs/2025-11-25_18-22-35/case_0003/RectangleRobot_UpSideways_RegularRes_RegularPad.png
4,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,0,inf,0,0,193.38,runs/2025-11-25_18-22-35/case_0004/ExactRobot_UpSideways_RegularRes_RegularPad.png
4,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,0,inf,0,0,101.67,runs/2025-11-25_18-22-35/case_0004/RectangleRobot_UpSideways_RegularRes_RegularPad.png
5,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,4.0,4,5,109.93,runs/2025-11-25_18-22-35/case_0005/ExactRobot_UpSideways_RegularRes_RegularPad.png
5,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,1,4.0,4,5,67.7,runs/2025-11-25_18-22-35/case_0005/RectangleRobot_UpSideways_RegularRes_RegularPad.png
6,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,6.0,6,7,163.05,runs/2025-11-25_18-22-35/case_0006/ExactRobot_UpSideways_RegularRes_RegularPad.png
6,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,1,6.0,6,7,102.57,runs/2025-11-25_18-22-35/case_0006/RectangleRobot_UpSideways_RegularRes_RegularPad.png
7,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,0,inf,0,0,3260.09,runs/2025-11-25_18-22-35/case_0007/ExactRobot_UpSideways_RegularRes_RegularPad.png
7,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,0,inf,0,0,1739.68,runs/2025-11-25_18-22-35/case_0007/RectangleRobot_UpSideways_RegularRes_RegularPad.png
8,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,1,5.0,5,6,136.85,runs/2025-11-25_18-22-35/case_0008/ExactRobot_UpSideways_RegularRes_RegularPad.png
8,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,1,5.0,5,6,80.99,runs/2025-11-25_18-22-35/case_0008/RectangleRobot_UpSideways_RegularRes_RegularPad.png
9,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,0,inf,0,0,3850.18,runs/2025-11-25_18-22-35/case_0009/ExactRobot_UpSideways_RegularRes_RegularPad.png
9,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,0,inf,0,0,2220.17,runs/2025-11-25_18-22-35/case_0009/RectangleRobot_UpSideways_RegularRes_RegularPad.png
10,ExactRobot_UpSideways_RegularRes_RegularPad,ExactRobot,UpSideways,RegularRes,0,inf,0,0,1864.17,runs/2025-11-25_18-22-35/case_0010/ExactRobot_UpSideways_RegularRes_RegularPad.png
10,RectangleRobot_UpSideways_RegularRes_RegularPad,RectangleRobot,UpSideways,RegularRes,0,inf,0,0,947.81,runs/2025-11-25_18-22-35/case_0010/RectangleRobot_UpSideways_RegularRes_RegularPad.png
